years,temp
20210827T0600,68.716354
20210827T0700,72.60435
20210827T0800,75.826355
20210827T0900,79.69635
20210827T1000,82.12635
20210827T1100,83.96235
20210827T1200,85.31235
20210827T1300,85.40234
20210827T1400,83.98035
20210827T1500,78.68835
20210827T1600,74.58435
20210827T1700,74.44035
20210827T1800,73.55835
20210827T1900,72.676346
20210827T2000,72.60435
20210827T2100,72.76635
20210827T2200,72.71235
20210827T2300,72.47835
20210828T0000,71.956345
20210828T0100,70.53435
20210828T0200,69.85034
20210828T0300,69.72435
20210828T0400,69.49035
20210828T0500,69.38235
20210828T0600,73.97235
20210828T0700,74.33235
20210828T0800,73.846344
20210828T0900,73.01835
20210828T1000,72.83835
20210828T1100,73.30635
20210828T1200,74.49435
20210828T1300,76.11435
20210828T1400,76.33035
20210828T1500,79.10235
20210828T1600,80.79434
20210828T1700,78.23834
20210828T1800,76.92435
20210828T1900,75.124344
20210828T2000,74.35034
20210828T2100,73.91835
20210828T2200,73.77435
20210828T2300,73.48634
20210829T0000,73.34235
20210829T0100,73.288345
20210829T0200,73.14435
20210829T0300,72.94635
20210829T0400,73.270355
20210829T0500,74.49435
20210829T0600,74.04434
20210829T0700,77.24835
20210829T0800,76.56435
20210829T0900,77.84235
20210829T1000,78.328354
20210829T1100,78.54434
20210829T1200,81.22635
20210829T1300,82.45035
20210829T1400,82.61235
20210829T1500,82.18034
20210829T1600,81.33435
20210829T1700,80.18234
20210829T1800,76.83435
20210829T1900,74.260345
20210829T2000,74.06235
20210829T2100,74.99835
20210829T2200,75.50235
20210829T2300,76.02435
20210830T0000,75.26835
20210830T0100,74.29635
20210830T0200,72.928345
20210830T0300,71.97435
20210830T0400,71.99235
20210830T0500,71.86635
20210830T0600,73.34235
20210830T0700,73.81035
20210830T0800,74.47635
20210830T0900,75.75435
20210830T1000,78.49035
20210830T1100,80.90234
20210830T1200,82.07235
20210830T1300,80.56035
20210830T1400,79.94835
20210830T1500,78.18435
20210830T1600,77.15835
20210830T1700,76.22235
20210830T1800,74.206345
20210830T1900,72.22635
20210830T2000,71.75835
20210830T2100,71.578354
20210830T2200,72.10034
20210830T2300,72.47835
20210831T0000,72.15435
20210831T0100,71.74035
20210831T0200,71.36235
20210831T0300,70.93034
20210831T0400,71.344345
20210831T0500,71.50635
20210831T0600,72.44235
20210831T0700,74.06235
20210831T0800,74.02635
20210831T0900,74.260345
20210831T1000,74.72835
20210831T1100,78.00435
20210831T1200,80.18234
20210831T1300,78.31035
20210831T1400,77.51835
20210831T1500,76.33035
20210831T1600,75.55635
20210831T1700,74.206345
20210831T1800,73.43234
20210831T1900,71.68635
20210831T2000,70.426346
20210831T2100,71.00235
20210831T2200,71.38035
20210831T2300,71.30835
